#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:42:15       0      2      1      1    100      0      0  10251   2670     84    331 
 20260527    14:42:16       0      3      2      0    100      0      0  10251   2670    132    254 
 20260527    14:42:17       0      3      2      0    100      0      0  10251   2670    149    284 
 20260527    14:42:18       0      3      2      0    100      0      0  10251   2670     87    346 
 20260527    14:42:19       0      3      2      1    100      0      0  10251   2670    116    362 
 20260527    14:42:20       0      2      1      0    100      0      0  10251   2670    166    270 
 20260527    14:42:21       0      2      2      0    100      0      0  10251   2670    137    294 
 20260527    14:42:22       0      3      2      0    100      0      0  10251   2670    164    272 
 20260527    14:42:23       0      2      1      0    100      0      0  10251   2670    170    252 
 20260527    14:42:24       0      2      2      0    100      0      0  10251   2670    147    290 
 20260527    14:42:26       0      3      2      0    100      0      0  10251   2670    159    276 
 20260527    14:42:27       0      2      1      1    100      0      0  10251   2670    141    285 
 20260527    14:42:28       0      3      2      1    100      0      0  10251   2670    134    252 
 20260527    14:42:29       0      2      1      0    100      0      0  10251   2670    130    305 
 20260527    14:42:30       0      3      2      1    100      0      0  10251   2670    116    310 
 20260527    14:42:31       0      2      1      0    100      0      0  10251   2670    177    274 
 20260527    14:42:32       0      2      1      0    100      0      0  10251   2670    135    296 
 20260527    14:42:33       0      2      2      0    100      0      0  10251   2670    107    313 
 20260527    14:42:34       0      3      2      1    100      0      0  10251   2670    131    331 
 20260527    14:42:35       0      3      2      0    100      0      0  10251   2670    157    292 
 20260527    14:42:36       0      2      2      1    100      0      0  10251   2670    150    271 
 20260527    14:42:37       0      2      2      0    100      0      0  10251   2670    170    280 
 20260527    14:42:38       0      2      1      0    100      0      0  10251   2670    122    293 
 20260527    14:42:39       0      2      1      0    100      0      0  10251   2670    150    274 
 20260527    14:42:41       0      2      1      0    100      0      0  10251   2670    187    250 
 20260527    14:42:42       0      3      2      0    100      0      0  10251   2670    128    294 
 20260527    14:42:43       0      3      2      1    100      0      0  10251   2670    112    293 
 20260527    14:42:44       0      2      2      0    100      0      0  10251   2670     90    330 
 20260527    14:42:45       0      2      2      1    100      0      0  10251   2670    144    398 
 20260527    14:42:46       0      3      2      0    100      0      0  10251   2670    144    274 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:42:47       0      2      2      1    100      0      0  10251   2670    125    293 
 20260527    14:42:48       0      2      2      0    100      0      0  10251   2670    148    268 
 20260527    14:42:49       0      2      1      0    100      0      0  10251   2670    149    277 
 20260527    14:42:50       0      3      2      1    100      0      0  10251   2670    140    293 
 20260527    14:42:51       0      2      2      0    100      0      0  10251   2670    125    287 
 20260527    14:42:52       0      2      1      0    100      0      0  10251   2670    125    306 
 20260527    14:42:53       0      2      2      0    100      0      0  10251   2670    108    308 
